 Direct beam 1:  4454
 Reflect beam 1:  4566
 Instrument background 1:  
 Theta 1: san
 Direct beam 2:  4570
 Reflect beam 2:  4567
 Instrument background 2:  
 Theta 2: san
 Direct beam 3:  4572
 Reflect beam 3:  4569
 Instrument background 3:  
 Theta 3: san
 Water:  
 Foreground 1:        5
 Foreground 2:        9
 Foreground 3:        9
 Background Low 1 - Offset :        5
 Background Low 1 - Width  :        9
 Background Low 2 - Offset :        5
 Background Low 2 - Width  :        5
 Background Low 3 - Offset :        5
 Background Low 3 - Width  :        5
 Background High 1 - Offset :        5
 Background High 1 - Width  :        9
 Background High 2 - Offset :        5
 Background High 2 - Width  :        5
 Background High 3 - Offset :        5
 Background High 3 - Width  :        5
 Lambda Range 1:       3.00000-      25.0000
 Lambda Range 2:       2.20000-      25.0000
 Lambda Range 3:       2.20000-      25.0000
 Useful Pixel Range 1:           30-         255
 Useful Pixel Range 2:           30-         255
 Useful Pixel Range 3:           30-         255
 Search Pixel Range 1:          160-         254
 Search Pixel Range 2:          160-         254
 Search Pixel Range 3:          160-         254
 Search Time Range 1:            0-         999
 Search Time Range 2:            0-         999
 Search Time Range 3:            0-         999

	q	   refl		refl err	q res
   0.00610735       1.06360      0.377002   8.01484e-05
   0.00611498       1.06166      0.326182   8.02535e-05
   0.00612264      0.565657      0.203635   8.03590e-05
   0.00613031       1.21053      0.375282   8.04646e-05
   0.00613801      0.348889      0.138902   8.05706e-05
   0.00614572      0.875000      0.261456   8.06769e-05
   0.00615346       1.26667      0.437501   8.07834e-05
   0.00616121      0.807190      0.294658   8.08902e-05
   0.00616898       1.03611      0.325906   8.09973e-05
   0.00617677      0.750000      0.256174   8.11047e-05
   0.00618458      0.584270      0.196379   8.12124e-05
   0.00619242      0.855292      0.249027   8.13204e-05
   0.00620027      0.800937      0.247264   8.14286e-05
   0.00620814       1.03283      0.309904   8.15371e-05
   0.00621603       1.35208      0.376252   8.16460e-05
   0.00622394      0.928819      0.237216   8.17551e-05
   0.00623187      0.991582      0.245178   8.18645e-05
   0.00623982      0.967450      0.250114   8.19742e-05
   0.00624780       1.17647      0.274427   8.20842e-05
   0.00625579      0.440898      0.116831   8.21944e-05
   0.00626380      0.822222      0.182469   8.23050e-05
   0.00627184      0.950400      0.231528   8.24159e-05
   0.00627989       1.05107      0.254420   8.25271e-05
   0.00628797       1.08272      0.224178   8.26386e-05
   0.00629606      0.818182      0.183873   8.27503e-05
   0.00630418       1.10811      0.251268   8.28624e-05
   0.00631232       1.13158      0.251942   8.29748e-05
   0.00632047       1.06481      0.229161   8.30875e-05
   0.00632865       1.33480      0.286733   8.32005e-05
   0.00633685      0.787363      0.175688   8.33138e-05
   0.00634508      0.840826      0.185020   8.34274e-05
   0.00635332      0.900000      0.184932   8.35413e-05
   0.00636159       1.24634      0.259548   8.36556e-05
   0.00636987       1.22096      0.248558   8.37701e-05
   0.00637818      0.693472      0.141862   8.38850e-05
   0.00638651       1.12367      0.226037   8.40002e-05
   0.00639486      0.545299      0.114467   8.41157e-05
   0.00640323       1.00000      0.195309   8.42314e-05
   0.00641163      0.857265      0.156730   8.43476e-05
   0.00642005       1.01724      0.188095   8.44640e-05
   0.00642849      0.858762      0.158667   8.45808e-05
   0.00643695      0.776629      0.160768   8.46979e-05
   0.00644543      0.733217      0.141613   8.48153e-05
   0.00645394       1.08433      0.201127   8.49331e-05
   0.00646247      0.895227      0.189168   8.50511e-05
   0.00647102      0.821918      0.143224   8.51695e-05
   0.00647959      0.742552      0.133504   8.52883e-05
   0.00648819       1.42711      0.283480   8.54073e-05
   0.00649681      0.713733      0.146230   8.55267e-05
   0.00650545      0.737977      0.138830   8.56464e-05
   0.00651412      0.909004      0.173222   8.57665e-05
   0.00652281       1.08333      0.213286   8.58869e-05
   0.00653152       1.39770      0.279108   8.60076e-05
   0.00654026      0.962264      0.188750   8.61287e-05
