# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: B
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 7473.6 3.8787e+06
1.01158e-09 7418.73 3.87316e+06
1.0145e-09 7459.63 3.86757e+06
1.01742e-09 7410.96 3.86213e+06
1.02035e-09 7409.56 3.85636e+06
1.02329e-09 7389.37 3.85077e+06
1.02624e-09 7366.61 3.8452e+06
1.0292e-09 7382.24 3.83981e+06
1.03217e-09 7336.56 3.83421e+06
1.03514e-09 7353.78 3.82879e+06
1.03813e-09 7324.46 3.82326e+06
1.04112e-09 7353.91 3.81786e+06
1.04412e-09 7326.68 3.81225e+06
1.04713e-09 7278.61 3.80696e+06
1.05015e-09 7272.44 3.80108e+06
1.05317e-09 7281.98 3.79599e+06
1.05621e-09 7272.71 3.79011e+06
1.05925e-09 7250.04 3.78504e+06
1.06231e-09 7255.72 3.77971e+06
1.06537e-09 7240.08 3.77416e+06
1.06844e-09 7248.52 3.76854e+06
1.07152e-09 7198.99 3.7631e+06
1.07461e-09 7188.5 3.75787e+06
1.07771e-09 7197.47 3.75217e+06
1.08081e-09 7184.32 3.74701e+06
1.08393e-09 7193.66 3.74137e+06
1.08705e-09 7188.44 3.73628e+06
1.09018e-09 7161.29 3.7307e+06
1.09333e-09 7144.63 3.72547e+06
1.09648e-09 7155.32 3.72002e+06
1.09964e-09 7134.16 3.71492e+06
1.10281e-09 7105 3.7095e+06
1.10599e-09 7119.97 3.70386e+06
1.10917e-09 7093.96 3.69887e+06
1.11237e-09 7085.37 3.69333e+06
1.11558e-09 7055.59 3.68804e+06
1.11879e-09 7054.37 3.68284e+06
1.12202e-09 7048.54 3.67739e+06
1.12525e-09 7033.29 3.67205e+06
1.1285e-09 7063.03 3.66689e+06
1.13175e-09 7009.2 3.66144e+06
1.13501e-09 7021.69 3.65644e+06
1.13828e-09 7009.77 3.65086e+06
1.14156e-09 6980.6 3.64595e+06
1.14485e-09 6973.89 3.64064e+06
1.14815e-09 6962.03 3.6356e+06
1.15146e-09 6971.07 3.63014e+06
1.15478e-09 6976.01 3.62529e+06
1.15811e-09 6933.84 3.61966e+06
1.16145e-09 6926.56 3.61447e+06
1.1648e-09 6934.51 3.60931e+06
1.16815e-09 6926.01 3.60414e+06
1.17152e-09 6867.17 3.59887e+06
