# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: B11
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 7956.01 27.866
1.0145e-09 7959.59 27.8246
1.01742e-09 7911.66 27.7845
1.02035e-09 7899.14 27.7434
1.02329e-09 7936.14 27.7038
1.02624e-09 7906.74 27.6648
1.0292e-09 7884.44 27.6269
1.03217e-09 7882.49 27.5849
1.03514e-09 7846.99 27.5469
1.03813e-09 7842.68 27.5054
1.04112e-09 7849.95 27.4663
1.04412e-09 7806.68 27.4271
1.04713e-09 7808.9 27.3837
1.05015e-09 7788.01 27.3452
1.05317e-09 7783.46 27.3075
1.05621e-09 7787.32 27.2702
1.05925e-09 7756.5 27.2305
1.06231e-09 7757.18 27.1911
1.06537e-09 7748.67 27.1532
1.06844e-09 7725.84 27.1123
1.07152e-09 7716.05 27.0733
1.07461e-09 7684.63 27.0338
1.07771e-09 7675.18 26.9971
1.08081e-09 7690.73 26.9592
1.08393e-09 7699.48 26.9197
1.08705e-09 7664.43 26.8807
1.09018e-09 7676.01 26.8418
1.09333e-09 7654.04 26.8033
1.09648e-09 7658.27 26.7661
1.09964e-09 7629.77 26.7242
1.10281e-09 7622.63 26.6862
1.10599e-09 7604.57 26.6483
1.10917e-09 7592.11 26.6114
1.11237e-09 7588.15 26.5722
1.11558e-09 7592.16 26.5325
1.11879e-09 7530.84 26.496
1.12202e-09 7556.78 26.4567
1.12525e-09 7524.87 26.4193
1.1285e-09 7549.43 26.3825
1.13175e-09 7476.41 26.3463
1.13501e-09 7510.64 26.3073
1.13828e-09 7519.87 26.2695
1.14156e-09 7466.19 26.2292
1.14485e-09 7476.51 26.1927
1.14815e-09 7458.5 26.156
1.15146e-09 7458.89 26.1191
1.15478e-09 7437.88 26.0799
1.15811e-09 7430.66 26.0402
1.16145e-09 7432.96 26.0068
1.1648e-09 7442.39 25.9681
1.16815e-09 7394.31 25.9284
1.17152e-09 7381.42 25.8921
1.1749e-09 7366.19 25.8568
1.17828e-09 7393.91 25.8171
1.18168e-09 7364.69 25.7821
1.18509e-09 7346.12 25.7447
1.1885e-09 7328.8 25.7082
1.19193e-09 7343.28 25.6703
1.19536e-09 7314.86 25.6324
1.19881e-09 7319.18 25.5951
1.20226e-09 7312.01 25.56
1.20573e-09 7284.51 25.5213
1.20921e-09 7291.15 25.4866
1.21269e-09 7260.46 25.4478
1.21619e-09 7259.5 25.412
1.21969e-09 7237.19 25.3764
1.22321e-09 7247.83 25.3383
1.22673e-09 7213.51 25.3046
1.23027e-09 7224.57 25.2686
1.23381e-09 7214.79 25.2311
1.23737e-09 7176.07 25.1967
1.24094e-09 7174.57 25.1575
1.24451e-09 7150.32 25.1241
1.2481e-09 7167.43 25.0856
1.2517e-09 7154.32 25.0503
1.25531e-09 7144.83 25.0107
1.25893e-09 7134.82 24.9774
1.26255e-09 7121.1 24.9415
1.26619e-09 7118.91 24.9057
1.26984e-09 7100.36 24.8702
1.2735e-09 7083.09 24.8349
1.27717e-09 7076.38 24.7991
1.28086e-09 7048.19 24.7637
1.28455e-09 7055.3 24.7289
1.28825e-09 7065.84 24.6923
1.29196e-09 7037.95 24.6571
1.29569e-09 7022.63 24.6202
1.29942e-09 6993.23 24.586
1.30317e-09 7021.44 24.5493
1.30692e-09 6997.93 24.5144
1.31069e-09 6995.9 24.4804
1.31447e-09 6978.38 24.4449
1.31826e-09 6961.24 24.4119
1.32206e-09 6930.42 24.3753
1.32587e-09 6924.32 24.3409
1.32969e-09 6931.66 24.3043
1.33352e-09 6908.8 24.268
1.33737e-09 6931.45 24.2331
1.34122e-09 6893.72 24.1981
1.34509e-09 6875.34 24.1657
1.34896e-09 6892.88 24.1312
1.35285e-09 6878.84 24.0947
1.35675e-09 6862.13 24.0604
1.36066e-09 6858.75 24.0257
1.36458e-09 6848.02 23.9931
1.36852e-09 6832.67 23.9574
1.37246e-09 6818.43 23.9243
1.37642e-09 6836.94 23.8887
1.38038e-09 6796.5 23.8536
1.38436e-09 6770.6 23.8203
1.38835e-09 6810.82 23.7849
1.39236e-09 6753.65 23.7503
1.39637e-09 6737.81 23.7149
1.40039e-09 6746.16 23.6827
1.40443e-09 6731.66 23.6475
1.40848e-09 6741.72 23.6154
1.41254e-09 6713.99 23.5814
1.41661e-09 6698.07 23.5456
1.42069e-09 6675.73 23.5127
1.42479e-09 6697.65 23.4812
1.42889e-09 6710.72 23.4451
1.43301e-09 6696.43 23.4127
1.43714e-09 6651.96 23.3765
1.44129e-09 6659.01 23.3442
1.44544e-09 6649.74 23.3133
1.44961e-09 6635.71 23.278
1.45378e-09 6637.62 23.2418
1.45797e-09 6633.61 23.21
1.46218e-09 6591.7 23.177
1.46639e-09 6597.37 23.1433
1.47062e-09 6573.52 23.1107
1.47486e-09 6587.72 23.0767
1.47911e-09 6562.45 23.0417
1.48337e-09 6555.73 23.0109
1.48765e-09 6541.7 22.9765
1.49194e-09 6558.08 22.9456
1.49624e-09 6529.55 22.9117
1.50055e-09 6520.03 22.8795
1.50487e-09 6527.45 22.8453
1.50921e-09 6512.48 22.8122
1.51356e-09 6525.51 22.7801
1.51792e-09 6480.57 22.7491
1.5223e-09 6479.56 22.7132
1.52669e-09 6460.26 22.6814
1.53109e-09 6476.82 22.6489
1.5355e-09 6468.69 22.6181
1.53993e-09 6429.67 22.585
1.54437e-09 6423.55 22.5526
1.54882e-09 6417.76 22.5191
1.55328e-09 6430.89 22.4857
1.55776e-09 6410.13 22.4543
1.56225e-09 6393.31 22.4226
1.56675e-09 6398.65 22.3883
1.57127e-09 6375.55 22.359
1.5758e-09 6362.2 22.3265
1.58034e-09 6378.99 22.2949
1.58489e-09 6342.68 22.2609
1.58946e-09 6352.84 22.2297
1.59404e-09 6322.18 22.1975
1.59864e-09 6327.41 22.1655
1.60325e-09 6332.12 22.1341
1.60787e-09 6286.56 22.1021
1.6125e-09 6305.38 22.0719
1.61715e-09 6278.9 22.0374
1.62181e-09 6289.38 22.0071
1.62648e-09 6267.24 21.9757
1.63117e-09 6258.43 21.9426
1.63587e-09 6254.05 21.9124
1.64059e-09 6250.8 21.881
1.64532e-09 6253.72 21.8495
1.65006e-09 6231.05 21.8167
1.65482e-09 6203.16 21.7866
1.65959e-09 6218.26 21.7537
1.66437e-09 6202.81 21.7225
1.66917e-09 6205.19 21.6918
1.67398e-09 6204.44 21.6612
1.6788e-09 6167.08 21.6298
1.68364e-09 6164.87 21.5993
1.6885e-09 6157.19 21.5697
1.69336e-09 6142.84 21.5361
