# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Cd
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 3420.5 9.3891e+06
1.0145e-09 3420.45 9.37633e+06
1.01742e-09 3402.35 9.35961e+06
1.02035e-09 3395.9 9.34792e+06
1.02329e-09 3409.1 9.33307e+06
1.02624e-09 3395.81 9.32096e+06
1.0292e-09 3394.99 9.30762e+06
1.03217e-09 3382.95 9.29392e+06
1.03514e-09 3374.23 9.28369e+06
1.03813e-09 3373.04 9.26877e+06
1.04112e-09 3377.52 9.25296e+06
1.04412e-09 3353.98 9.23948e+06
1.04713e-09 3354.81 9.22628e+06
1.05015e-09 3347.24 9.21344e+06
1.05317e-09 3349.09 9.20126e+06
1.05621e-09 3343.78 9.18907e+06
1.05925e-09 3333.07 9.17281e+06
1.06231e-09 3335.72 9.16197e+06
1.06537e-09 3330.12 9.14754e+06
1.06844e-09 3320.76 9.13466e+06
1.07152e-09 3312.29 9.12472e+06
1.07461e-09 3311.45 9.11204e+06
1.07771e-09 3297.29 9.09484e+06
1.08081e-09 3311.04 9.08091e+06
1.08393e-09 3304.76 9.06849e+06
1.08705e-09 3295.8 9.05456e+06
1.09018e-09 3303.16 9.04244e+06
1.09333e-09 3292.14 9.03213e+06
1.09648e-09 3287.36 9.01552e+06
1.09964e-09 3283.13 9.00439e+06
1.10281e-09 3270.87 8.99122e+06
1.10599e-09 3270.01 8.97946e+06
1.10917e-09 3263.12 8.96516e+06
1.11237e-09 3265.87 8.95389e+06
1.11558e-09 3258.97 8.93877e+06
1.11879e-09 3238.94 8.92954e+06
1.12202e-09 3249.29 8.91444e+06
1.12525e-09 3244.15 8.90035e+06
1.1285e-09 3235.64 8.89168e+06
1.13175e-09 3217.53 8.87553e+06
1.13501e-09 3239.41 8.86097e+06
1.13828e-09 3214.87 8.85158e+06
1.14156e-09 3219.78 8.83949e+06
1.14485e-09 3207.23 8.8246e+06
1.14815e-09 3214.69 8.8104e+06
1.15146e-09 3202.56 8.79601e+06
1.15478e-09 3192.77 8.78629e+06
1.15811e-09 3198.08 8.77535e+06
1.16145e-09 3201.87 8.76117e+06
1.1648e-09 3194.37 8.74751e+06
1.16815e-09 3173.73 8.73713e+06
1.17152e-09 3174.55 8.72211e+06
1.1749e-09 3176.83 8.71282e+06
1.17828e-09 3171.83 8.69838e+06
1.18168e-09 3159.41 8.68579e+06
1.18509e-09 3156.83 8.67415e+06
1.1885e-09 3162.42 8.66266e+06
1.19193e-09 3144.34 8.64755e+06
1.19536e-09 3155.7 8.63628e+06
1.19881e-09 3145.22 8.62269e+06
1.20226e-09 3132.65 8.61436e+06
1.20573e-09 3133.55 8.59943e+06
1.20921e-09 3135.34 8.5876e+06
1.21269e-09 3124.75 8.57578e+06
1.21619e-09 3120.09 8.56273e+06
1.21969e-09 3105.94 8.54696e+06
1.22321e-09 3118.68 8.53798e+06
1.22673e-09 3100.97 8.52508e+06
