# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Cd114
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 2919.39 1544.2
1.0145e-09 2919.44 1541.45
1.01742e-09 2902.12 1539.53
1.02035e-09 2897.69 1537.32
1.02329e-09 2910.43 1534.97
1.02624e-09 2900.33 1532.88
1.0292e-09 2892.36 1530.76
1.03217e-09 2891.43 1528.6
1.03514e-09 2876.48 1526.19
1.03813e-09 2876.88 1524.05
1.04112e-09 2879.01 1522.33
1.04412e-09 2863.34 1519.77
1.04713e-09 2864.81 1517.59
1.05015e-09 2856.01 1515.16
1.05317e-09 2855.12 1513.7
1.05621e-09 2856.65 1511.1
1.05925e-09 2845.21 1508.74
1.06231e-09 2847.5 1506.57
1.06537e-09 2842.84 1504.99
1.06844e-09 2833.74 1502.12
1.07152e-09 2831.61 1500.25
1.07461e-09 2818.24 1498.14
1.07771e-09 2815.74 1495.48
1.08081e-09 2820.55 1493.55
1.08393e-09 2823.27 1491.62
1.08705e-09 2812.2 1489.67
1.09018e-09 2814.64 1487.2
1.09333e-09 2807.13 1484.99
1.09648e-09 2807.66 1483.29
1.09964e-09 2798.3 1480.23
1.10281e-09 2797.15 1478.92
1.10599e-09 2788.84 1476.79
1.10917e-09 2783.85 1474.31
1.11237e-09 2784.37 1471.76
1.11558e-09 2786.23 1469.68
1.11879e-09 2760.82 1467.78
1.12202e-09 2773.72 1466.41
1.12525e-09 2759.75 1463.81
1.1285e-09 2767.82 1462.13
1.13175e-09 2743.81 1460.11
1.13501e-09 2754.75 1457.48
1.13828e-09 2758.41 1455.54
1.14156e-09 2737.04 1453.48
1.14485e-09 2742.46 1451.17
1.14815e-09 2735.4 1448.73
1.15146e-09 2735.31 1447.42
1.15478e-09 2728.48 1445.04
1.15811e-09 2725.81 1443.09
1.16145e-09 2727.27 1440.98
1.1648e-09 2730.5 1438.76
1.16815e-09 2711.67 1436.67
1.17152e-09 2707.41 1434.58
1.1749e-09 2703.2 1432.51
1.17828e-09 2711.88 1430.29
1.18168e-09 2699.65 1428.41
1.18509e-09 2693.69 1426.64
1.1885e-09 2692.39 1424.1
1.19193e-09 2689.72 1422.21
1.19536e-09 2685.75 1419.84
1.19881e-09 2681.15 1418.46
1.20226e-09 2683.88 1416.42
1.20573e-09 2672.67 1413.73
1.20921e-09 2675.76 1411.84
1.21269e-09 2663.56 1409.92
1.21619e-09 2660.68 1407.98
1.21969e-09 2654.41 1405.68
1.22321e-09 2658.61 1403.89
1.22673e-09 2645.66 1402.05
1.23027e-09 2651.12 1400.11
1.23381e-09 2644.44 1398.25
1.23737e-09 2634.73 1396.52
1.24094e-09 2633.87 1394.13
1.24451e-09 2619.34 1392.13
1.2481e-09 2628.09 1389.82
1.2517e-09 2627.78 1387.96
1.25531e-09 2621.23 1385.8
1.25893e-09 2613.08 1383.81
1.26255e-09 2615.65 1382.36
1.26619e-09 2609.13 1379.97
1.26984e-09 2606.86 1378
1.2735e-09 2599.53 1375.81
1.27717e-09 2592.9 1374
1.28086e-09 2586.69 1372.37
1.28455e-09 2591.44 1370.2
1.28825e-09 2589.55 1368.47
1.29196e-09 2582.02 1366.4
1.29569e-09 2578.52 1364.78
1.29942e-09 2563.97 1362.11
1.30317e-09 2574.94 1360.54
1.30692e-09 2566.63 1358.53
1.31069e-09 2567.25 1356.56
1.31447e-09 2557.76 1354.45
1.31826e-09 2553.15 1352.41
1.32206e-09 2543.31 1350.8
1.32587e-09 2540.07 1348.72
1.32969e-09 2540.33 1346.78
1.33352e-09 2534.56 1344.38
1.33737e-09 2543.01 1342.89
1.34122e-09 2527.55 1340.86
1.34509e-09 2522.94 1338.91
1.34896e-09 2527.39 1337.33
1.35285e-09 2523.04 1335.08
1.35675e-09 2517.35 1333.13
1.36066e-09 2514.5 1331.61
1.36458e-09 2512.33 1329.04
1.36852e-09 2504.5 1327.37
1.37246e-09 2503.46 1325.4
1.37642e-09 2506.33 1323.43
1.38038e-09 2493.47 1321.49
1.38436e-09 2483.39 1319.7
1.38835e-09 2498.03 1317.71
1.39236e-09 2476.65 1316.16
1.39637e-09 2473.21 1313.89
1.40039e-09 2473.43 1312.15
1.40443e-09 2471.17 1310.22
1.40848e-09 2470.54 1308.51
1.41254e-09 2461.4 1306.84
1.41661e-09 2457.96 1304.58
1.42069e-09 2447.82 1302.58
1.42479e-09 2461.11 1300.66
1.42889e-09 2461.78 1299.34
1.43301e-09 2454.47 1297.17
1.43714e-09 2440.32 1295.47
1.44129e-09 2443.62 1293.62
1.44544e-09 2440.46 1291.76
1.44961e-09 2431.69 1289.78
1.45378e-09 2434.49 1287.79
1.45797e-09 2432.75 1285.84
1.46218e-09 2421.44 1284.29
1.46639e-09 2419.66 1281.98
1.47062e-09 2411.08 1280.58
1.47486e-09 2415.56 1278.46
1.47911e-09 2408.99 1276.53
1.48337e-09 2404.31 1274.88
1.48765e-09 2400.26 1273.16
1.49194e-09 2405.17 1271.43
1.49624e-09 2397.66 1269.39
1.50055e-09 2391.93 1267.67
1.50487e-09 2394.52 1265.92
1.50921e-09 2389.4 1263.83
1.51356e-09 2389.75 1262.42
1.51792e-09 2378.45 1260.54
1.5223e-09 2376.39 1258.68
1.52669e-09 2370.86 1256.77
1.53109e-09 2376.52 1254.83
1.5355e-09 2371.44 1253.12
1.53993e-09 2360.47 1251.33
1.54437e-09 2353.48 1249.85
1.54882e-09 2356.03 1247.5
1.55328e-09 2359.51 1245.81
1.55776e-09 2349.16 1244.25
1.56225e-09 2346.96 1242.23
1.56675e-09 2344.66 1240.66
1.57127e-09 2339.69 1238.73
1.5758e-09 2332.18 1236.94
1.58034e-09 2340.01 1235.43
1.58489e-09 2326.26 1233.77
1.58946e-09 2329.82 1232
1.59404e-09 2318.28 1229.71
1.59864e-09 2320.19 1228.09
1.60325e-09 2321.93 1226.67
1.60787e-09 2307.12 1224.73
1.6125e-09 2314.01 1222.85
1.61715e-09 2303.8 1220.7
1.62181e-09 2307.36 1219.4
1.62648e-09 2298.38 1217.44
1.63117e-09 2295.61 1216.22
1.63587e-09 2293.23 1214.07
1.64059e-09 2293.7 1212.39
1.64532e-09 2293.83 1210.51
1.65006e-09 2285.03 1208.86
1.65482e-09 2275.45 1207.25
1.65959e-09 2280.22 1205.83
1.66437e-09 2278.25 1203.91
1.66917e-09 2274.79 1201.8
1.67398e-09 2275.79 1200.14
1.6788e-09 2261.26 1198.65
1.68364e-09 2262.4 1196.62
1.6885e-09 2257.35 1194.44
1.69336e-09 2252.94 1193.3
1.69824e-09 2247.57 1191.66
1.70314e-09 2250.98 1189.79
1.70805e-09 2249.92 1188.38
1.71297e-09 2242.91 1186.47
1.71791e-09 2240.32 1184.47
1.72286e-09 2238.81 1183.15
1.72783e-09 2222.39 1181.29
1.73281e-09 2232.56 1179.39
1.7378e-09 2224.8 1178.08
1.74281e-09 2226.8 1176.44
1.74783e-09 2223.91 1174.66
1.75287e-09 2212.03 1173.07
1.75792e-09 2206.15 1171.24
1.76299e-09 2208.18 1169.48
1.76807e-09 2207.73 1167.75
1.77317e-09 2199.58 1166.06
1.77828e-09 2206.67 1164.28
1.78341e-09 2195.33 1163.1
1.78855e-09 2196.68 1161.1
1.7937e-09 2191.74 1159.41
