# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 54643.7 1.89719e+08
1.01158e-09 54339.3 1.89469e+08
1.0145e-09 54614.9 1.89227e+08
1.01742e-09 54254.4 1.89001e+08
1.02035e-09 54248.9 1.8875e+08
1.02329e-09 54126.6 1.88404e+08
1.02624e-09 53989.5 1.88081e+08
1.0292e-09 53915.3 1.8792e+08
1.03217e-09 53769.1 1.87585e+08
1.03514e-09 53833.9 1.87318e+08
1.03813e-09 53703.4 1.8701e+08
1.04112e-09 53836.6 1.86904e+08
1.04412e-09 53577.8 1.86586e+08
1.04713e-09 53291.1 1.86274e+08
1.05015e-09 53279 1.86038e+08
1.05317e-09 53357.8 1.85659e+08
1.05621e-09 53238.5 1.85478e+08
1.05925e-09 53091.5 1.85199e+08
1.06231e-09 53188.8 1.85007e+08
1.06537e-09 52988.3 1.84677e+08
1.06844e-09 53041.8 1.84357e+08
1.07152e-09 52648.5 1.84173e+08
1.07461e-09 52801.3 1.83895e+08
1.07771e-09 52613.1 1.83629e+08
1.08081e-09 52727.9 1.83288e+08
1.08393e-09 52682.6 1.83012e+08
1.08705e-09 52487.3 1.82787e+08
1.09018e-09 52516.9 1.82496e+08
1.09333e-09 52468.1 1.82298e+08
1.09648e-09 52282 1.82002e+08
1.09964e-09 52160.7 1.81732e+08
1.10281e-09 52114 1.81424e+08
1.10599e-09 52063.5 1.813e+08
1.10917e-09 51975.7 1.80982e+08
1.11237e-09 51837.6 1.80701e+08
1.11558e-09 51795.3 1.80464e+08
1.11879e-09 51658.2 1.8012e+08
1.12202e-09 51557.4 1.7992e+08
1.12525e-09 51625.8 1.79606e+08
1.1285e-09 51528.4 1.79401e+08
1.13175e-09 51431.8 1.79175e+08
1.13501e-09 51544.7 1.78924e+08
1.13828e-09 51125.7 1.78675e+08
1.14156e-09 51261.7 1.78404e+08
1.14485e-09 51050.2 1.78111e+08
1.14815e-09 50972.8 1.77854e+08
1.15146e-09 51090 1.77556e+08
1.15478e-09 50836.2 1.77354e+08
1.15811e-09 50970.8 1.771e+08
1.16145e-09 50728.2 1.76825e+08
1.1648e-09 50802.4 1.76539e+08
1.16815e-09 50469.8 1.76325e+08
1.17152e-09 50426.7 1.76121e+08
1.1749e-09 50479 1.75806e+08
1.17828e-09 50553.5 1.75612e+08
1.18168e-09 50302.6 1.75424e+08
1.18509e-09 50388 1.75048e+08
1.1885e-09 50209.2 1.74819e+08
1.19193e-09 50270.2 1.74612e+08
1.19536e-09 50104.3 1.74319e+08
1.19881e-09 49945.5 1.74034e+08
1.20226e-09 49905.7 1.73817e+08
1.20573e-09 49770.8 1.73563e+08
1.20921e-09 49813.4 1.73404e+08
1.21269e-09 49734.6 1.7311e+08
1.21619e-09 49585.5 1.72805e+08
1.21969e-09 49675.2 1.72554e+08
1.22321e-09 49561.1 1.72259e+08
1.22673e-09 49302.8 1.72024e+08
1.23027e-09 49268.8 1.71856e+08
1.23381e-09 49283.7 1.71611e+08
1.23737e-09 49205.2 1.71336e+08
1.24094e-09 49092.8 1.71121e+08
1.24451e-09 49053.8 1.7086e+08
1.2481e-09 49171.8 1.70569e+08
1.2517e-09 48993 1.70339e+08
1.25531e-09 48767.3 1.70114e+08
1.25893e-09 48755.1 1.69861e+08
1.26255e-09 48672.4 1.69676e+08
1.26619e-09 48600.5 1.69308e+08
1.26984e-09 48527.8 1.69114e+08
1.2735e-09 48498.1 1.68922e+08
1.27717e-09 48456.1 1.68648e+08
1.28086e-09 48386.8 1.68436e+08
1.28455e-09 48581.7 1.68222e+08
1.28825e-09 48327.1 1.67895e+08
1.29196e-09 48131.3 1.67616e+08
1.29569e-09 47893.2 1.67417e+08
1.29942e-09 47926 1.67209e+08
1.30317e-09 47834.9 1.67006e+08
1.30692e-09 47886.1 1.66816e+08
1.31069e-09 47853.9 1.66529e+08
1.31447e-09 47595.8 1.66225e+08
1.31826e-09 47608.1 1.65998e+08
1.32206e-09 47568.1 1.65747e+08
1.32587e-09 47447.2 1.65541e+08
1.32969e-09 47368.9 1.6534e+08
1.33352e-09 47424.5 1.6506e+08
1.33737e-09 47345.9 1.64818e+08
1.34122e-09 47261.3 1.64576e+08
1.34509e-09 47136.6 1.64347e+08
1.34896e-09 47354.9 1.64082e+08
1.35285e-09 47082.3 1.6384e+08
1.35675e-09 47073.5 1.63646e+08
1.36066e-09 46882 1.634e+08
1.36458e-09 46814.9 1.63144e+08
1.36852e-09 46870.9 1.62953e+08
1.37246e-09 46657.1 1.62674e+08
1.37642e-09 46698 1.62487e+08
1.38038e-09 46531.1 1.62197e+08
1.38436e-09 46436.9 1.6197e+08
1.38835e-09 46382.8 1.6177e+08
1.39236e-09 46345.6 1.61519e+08
1.39637e-09 46321.9 1.61286e+08
1.40039e-09 46260.5 1.6104e+08
1.40443e-09 46062.9 1.60793e+08
1.40848e-09 46053.1 1.60563e+08
1.41254e-09 46095.4 1.60392e+08
1.41661e-09 46038.1 1.60171e+08
1.42069e-09 45979.9 1.59947e+08
1.42479e-09 45829.4 1.59697e+08
1.42889e-09 45806.1 1.594e+08
1.43301e-09 45666.3 1.59251e+08
1.43714e-09 45579.7 1.58962e+08
1.44129e-09 45607.9 1.58773e+08
1.44544e-09 45627.5 1.58524e+08
1.44961e-09 45456.7 1.58331e+08
1.45378e-09 45299.9 1.58068e+08
1.45797e-09 45374.7 1.57825e+08
1.46218e-09 45094.5 1.57627e+08
1.46639e-09 45063.3 1.57389e+08
1.47062e-09 45194 1.57196e+08
1.47486e-09 45104.5 1.56928e+08
1.47911e-09 45037.8 1.56753e+08
1.48337e-09 44972.7 1.56469e+08
1.48765e-09 44820.8 1.56271e+08
1.49194e-09 44839.4 1.56053e+08
1.49624e-09 44743.5 1.55819e+08
1.50055e-09 44702.2 1.55625e+08
1.50487e-09 44627.9 1.55332e+08
1.50921e-09 44696.8 1.55159e+08
1.51356e-09 44489.3 1.54905e+08
1.51792e-09 44438.7 1.54689e+08
1.5223e-09 44348.3 1.5443e+08
1.52669e-09 44412.1 1.5426e+08
1.53109e-09 44197.8 1.53997e+08
1.5355e-09 44082.5 1.53809e+08
1.53993e-09 43973.9 1.53629e+08
1.54437e-09 44107.8 1.53419e+08
1.54882e-09 44051.3 1.53157e+08
1.55328e-09 44045.8 1.52954e+08
1.55776e-09 43869.6 1.52722e+08
1.56225e-09 43799.2 1.52456e+08
1.56675e-09 43794.6 1.52285e+08
1.57127e-09 43749.9 1.52026e+08
1.5758e-09 43546 1.51846e+08
1.58034e-09 43536.3 1.51595e+08
1.58489e-09 43521.4 1.51412e+08
1.58946e-09 43356.1 1.51185e+08
1.59404e-09 43462.4 1.50993e+08
1.59864e-09 43274.6 1.50721e+08
1.60325e-09 43251.3 1.50505e+08
1.60787e-09 43127.6 1.50321e+08
1.6125e-09 43216.3 1.50156e+08
1.61715e-09 43017.1 1.49849e+08
1.62181e-09 43037 1.49635e+08
1.62648e-09 42818.9 1.49444e+08
1.63117e-09 42769.8 1.4923e+08
1.63587e-09 42845.8 1.49017e+08
1.64059e-09 42748.1 1.48791e+08
1.64532e-09 42682.1 1.48609e+08
1.65006e-09 42623.3 1.48358e+08
1.65482e-09 42670.8 1.48131e+08
1.65959e-09 42520.7 1.47889e+08
1.66437e-09 42536.7 1.47704e+08
1.66917e-09 42412.6 1.47518e+08
1.67398e-09 42339.7 1.47344e+08
1.6788e-09 42152.9 1.47104e+08
1.68364e-09 42262.7 1.46941e+08
1.6885e-09 42023.4 1.46647e+08
1.69336e-09 42039 1.46477e+08
1.69824e-09 41990.2 1.46208e+08
1.70314e-09 41956.3 1.4603e+08
1.70805e-09 41891.5 1.45836e+08
1.71297e-09 41741.7 1.45605e+08
