# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd155
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 18223.1 2.4837e+08
1.0145e-09 18194.7 2.48004e+08
1.01742e-09 18101.5 2.47671e+08
1.02035e-09 18070.3 2.4722e+08
1.02329e-09 18135.8 2.46965e+08
1.02624e-09 18051 2.46529e+08
1.0292e-09 18082.2 2.46184e+08
1.03217e-09 17987.6 2.45905e+08
1.03514e-09 17922.5 2.45498e+08
1.03813e-09 17957.2 2.45245e+08
1.04112e-09 17973.7 2.44792e+08
1.04412e-09 17846.9 2.44486e+08
1.04713e-09 17851.7 2.4414e+08
1.05015e-09 17805.3 2.43763e+08
1.05317e-09 17816.2 2.43378e+08
1.05621e-09 17778.1 2.43059e+08
1.05925e-09 17733.3 2.42655e+08
1.06231e-09 17752.6 2.42322e+08
1.06537e-09 17700.5 2.42057e+08
1.06844e-09 17661.8 2.4167e+08
1.07152e-09 17605.1 2.41322e+08
1.07461e-09 17621.3 2.40912e+08
1.07771e-09 17578 2.40665e+08
1.08081e-09 17608 2.40217e+08
1.08393e-09 17577.3 2.39978e+08
1.08705e-09 17521.9 2.39582e+08
1.09018e-09 17580.5 2.39313e+08
1.09333e-09 17512.8 2.38963e+08
1.09648e-09 17495.9 2.38576e+08
1.09964e-09 17475.2 2.38305e+08
1.10281e-09 17419.3 2.37919e+08
1.10599e-09 17400.9 2.37431e+08
1.10917e-09 17373.6 2.37184e+08
1.11237e-09 17383.4 2.36797e+08
1.11558e-09 17295.6 2.36519e+08
1.11879e-09 17258.9 2.36068e+08
1.12202e-09 17245.7 2.35767e+08
1.12525e-09 17289.1 2.35559e+08
1.1285e-09 17186.1 2.35233e+08
1.13175e-09 17143.7 2.34877e+08
1.13501e-09 17224.3 2.34535e+08
1.13828e-09 17127.8 2.34106e+08
1.14156e-09 17112.8 2.33844e+08
1.14485e-09 17095.7 2.33411e+08
1.14815e-09 17065.8 2.33211e+08
1.15146e-09 17064 2.3281e+08
