# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Li
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 2124.98 361438
1.01158e-09 2109.38 360903
1.0145e-09 2121.01 360403
1.01742e-09 2107.14 359882
1.02035e-09 2106.86 359410
1.02329e-09 2101.03 358888
1.02624e-09 2094.56 358350
1.0292e-09 2099.01 357820
1.03217e-09 2086.02 357347
1.03514e-09 2091.17 356800
1.03813e-09 2083.35 356267
1.04112e-09 2090.63 355766
1.04412e-09 2082.6 355262
1.04713e-09 2069.91 354745
1.05015e-09 2067.98 354254
1.05317e-09 2070.44 353727
1.05621e-09 2068.16 353221
1.05925e-09 2061.19 352710
1.06231e-09 2061.96 352212
1.06537e-09 2059.3 351707
1.06844e-09 2060.67 351201
1.07152e-09 2046.55 350690
1.07461e-09 2044.62 350188
1.07771e-09 2046.08 349685
1.08081e-09 2042.73 349185
1.08393e-09 2045.53 348702
1.08705e-09 2043.54 348177
1.09018e-09 2036.57 347686
1.09333e-09 2031.28 347191
1.09648e-09 2035.25 346675
1.09964e-09 2027.93 346184
1.10281e-09 2020.87 345682
1.10599e-09 2023.99 345190
1.10917e-09 2016.6 344689
1.11237e-09 2014.69 344188
1.11558e-09 2006.22 343672
1.11879e-09 2005.49 343201
1.12202e-09 2004.71 342720
1.12525e-09 1999.61 342203
1.1285e-09 2008.2 341723
1.13175e-09 1992.76 341228
1.13501e-09 1996.59 340755
1.13828e-09 1992.83 340261
1.14156e-09 1984.54 339733
1.14485e-09 1982.58 339257
1.14815e-09 1980.6 338777
1.15146e-09 1981.59 338319
1.15478e-09 1983.83 337817
1.15811e-09 1970.68 337325
1.16145e-09 1970.19 336826
1.1648e-09 1971.73 336355
1.16815e-09 1969.53 335873
1.17152e-09 1952.19 335380
1.1749e-09 1958.24 334911
1.17828e-09 1959.94 334436
1.18168e-09 1954.63 333953
1.18509e-09 1951.72 333463
1.1885e-09 1950.26 332993
1.19193e-09 1950 332493
1.19536e-09 1945.54 332038
1.19881e-09 1942.3 331538
1.20226e-09 1940.58 331079
1.20573e-09 1936.8 330597
1.20921e-09 1931.15 330124
1.21269e-09 1929.95 329649
1.21619e-09 1928.87 329166
1.21969e-09 1925.96 328709
1.22321e-09 1921.47 328249
1.22673e-09 1922.03 327763
1.23027e-09 1911.99 327296
1.23381e-09 1913.45 326811
1.23737e-09 1906.37 326360
1.24094e-09 1906.36 325881
1.24451e-09 1905.41 325394
1.2481e-09 1902.47 324938
1.2517e-09 1904.53 324452
1.25531e-09 1900.43 324001
1.25893e-09 1890.18 323549
1.26255e-09 1890.44 323078
1.26619e-09 1888.84 322611
1.26984e-09 1885.65 322151
1.2735e-09 1883.75 321689
1.27717e-09 1881.27 321228
1.28086e-09 1880.35 320745
1.28455e-09 1875.25 320297
1.28825e-09 1883.04 319840
1.29196e-09 1874.28 319375
1.29569e-09 1867.53 318929
1.29942e-09 1856.95 318468
1.30317e-09 1858.49 318004
1.30692e-09 1854.48 317525
1.31069e-09 1855.63 317100
1.31447e-09 1856.36 316633
1.31826e-09 1845.65 316173
1.32206e-09 1846.27 315706
1.32587e-09 1844.06 315258
1.32969e-09 1836.87 314800
1.33352e-09 1837.14 314374
1.33737e-09 1839.19 313903
1.34122e-09 1833.95 313455
1.34509e-09 1830.56 313006
1.34896e-09 1832.83 312564
1.35285e-09 1833.2 312123
1.35675e-09 1829.73 311673
1.36066e-09 1821.63 311205
1.36458e-09 1816.07 310747
1.36852e-09 1817.78 310315
1.37246e-09 1814.25 309885
1.37642e-09 1809.51 309443
1.38038e-09 1808.14 308963
1.38436e-09 1802.4 308532
1.38835e-09 1803.33 308104
1.39236e-09 1796.66 307662
1.39637e-09 1795.44 307224
1.40039e-09 1796.88 306749
1.40443e-09 1793.13 306317
1.40848e-09 1789.95 305865
1.41254e-09 1783.81 305435
1.41661e-09 1784.91 304998
1.42069e-09 1784.74 304543
1.42479e-09 1780.38 304126
1.42889e-09 1780.67 303684
1.43301e-09 1775.57 303253
1.43714e-09 1769.57 302816
1.44129e-09 1766.08 302382
1.44544e-09 1768.99 301933
1.44961e-09 1764.63 301528
1.45378e-09 1767.13 301073
1.45797e-09 1762.72 300655
1.46218e-09 1752.71 300203
1.46639e-09 1751.75 299761
1.47062e-09 1747.17 299328
1.47486e-09 1750.68 298924
1.47911e-09 1746.06 298492
1.48337e-09 1749.84 298053
1.48765e-09 1739.91 297613
1.49194e-09 1740.42 297202
1.49624e-09 1737.16 296757
1.50055e-09 1734.8 296350
1.50487e-09 1733.62 295919
1.50921e-09 1731.25 295493
1.51356e-09 1729.81 295059
1.51792e-09 1729.6 294656
1.5223e-09 1722.39 294190
1.52669e-09 1718.49 293813
1.53109e-09 1719.97 293382
1.5355e-09 1717.44 292952
1.53993e-09 1708.58 292514
1.54437e-09 1704.19 292128
1.54882e-09 1707.2 291705
1.55328e-09 1710.22 291276
1.55776e-09 1703.05 290855
1.56225e-09 1704.64 290433
1.56675e-09 1697.44 290023
1.57127e-09 1695.65 289606
1.5758e-09 1694.81 289178
1.58034e-09 1691.14 288780
1.58489e-09 1686.2 288352
1.58946e-09 1688.2 287944
1.59404e-09 1680.35 287542
1.59864e-09 1681.67 287112
1.60325e-09 1681.76 286712
1.60787e-09 1674.78 286268
1.6125e-09 1674.79 285884
1.61715e-09 1671.86 285454
1.62181e-09 1671.36 285042
1.62648e-09 1666.73 284643
1.63117e-09 1664.66 284240
1.63587e-09 1655.62 283832
1.64059e-09 1656.96 283406
1.64532e-09 1661.86 283006
1.65006e-09 1654.39 282608
1.65482e-09 1653.11 282194
1.65959e-09 1646.88 281783
1.66437e-09 1654.59 281388
1.66917e-09 1646.46 280979
1.67398e-09 1646.04 280575
1.6788e-09 1641.03 280161
1.68364e-09 1639.81 279794
1.6885e-09 1632.07 279361
1.69336e-09 1635.07 278987
1.69824e-09 1625.73 278549
1.70314e-09 1632.01 278160
1.70805e-09 1622.95 277767
1.71297e-09 1622.83 277391
1.71791e-09 1622.69 276952
1.72286e-09 1615.72 276577
1.72783e-09 1615.8 276162
1.73281e-09 1619.24 275768
1.7378e-09 1613.04 275378
1.74281e-09 1610.17 274972
1.74783e-09 1605.67 274597
1.75287e-09 1605.84 274192
1.75792e-09 1604.59 273801
1.76299e-09 1601.18 273403
1.76807e-09 1597.29 273006
1.77317e-09 1593.87 272620
1.77828e-09 1587.94 272212
1.78341e-09 1590.86 271834
1.78855e-09 1591.61 271433
1.7937e-09 1593.1 271050
1.79887e-09 1584.29 270673
1.80406e-09 1578.97 270297
1.80926e-09 1576.55 269881
1.81447e-09 1579.1 269519
1.8197e-09 1576.87 269110
1.82495e-09 1574.89 268730
1.83021e-09 1568.3 268328
1.83548e-09 1567.3 267946
1.84077e-09 1565.57 267563
1.84608e-09 1565.98 267172
1.8514e-09 1564.49 266794
1.85674e-09 1554.43 266410
1.86209e-09 1556.02 266024
1.86745e-09 1555.83 265643
1.87284e-09 1550.52 265264
1.87824e-09 1552.88 264889
1.88365e-09 1554.76 264496
1.88908e-09 1544.89 264120
1.89452e-09 1540.28 263733
1.89998e-09 1539.23 263353
1.90546e-09 1543.8 262955
1.91095e-09 1535.39 262619
