# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Li6
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 1603.71 4.75947e+06
1.01158e-09 1591.94 4.75238e+06
1.0145e-09 1600.71 4.74537e+06
1.01742e-09 1590.25 4.73876e+06
1.02035e-09 1590.03 4.73191e+06
1.02329e-09 1585.64 4.7257e+06
1.02624e-09 1580.75 4.71887e+06
1.0292e-09 1584.11 4.71178e+06
1.03217e-09 1574.3 4.70484e+06
1.03514e-09 1578.2 4.69857e+06
1.03813e-09 1572.29 4.69143e+06
1.04112e-09 1577.79 4.68442e+06
1.04412e-09 1571.73 4.67778e+06
1.04713e-09 1562.15 4.67119e+06
1.05015e-09 1560.69 4.66437e+06
1.05317e-09 1562.55 4.6579e+06
1.05621e-09 1560.82 4.65097e+06
1.05925e-09 1555.57 4.64435e+06
1.06231e-09 1556.14 4.63765e+06
1.06537e-09 1554.14 4.63106e+06
1.06844e-09 1555.17 4.62442e+06
1.07152e-09 1544.52 4.61777e+06
1.07461e-09 1543.06 4.61106e+06
1.07771e-09 1544.16 4.60449e+06
1.08081e-09 1541.63 4.59788e+06
1.08393e-09 1543.74 4.59126e+06
1.08705e-09 1542.25 4.58489e+06
1.09018e-09 1536.98 4.57801e+06
1.09333e-09 1532.99 4.57158e+06
1.09648e-09 1535.99 4.56503e+06
1.09964e-09 1530.46 4.55829e+06
1.10281e-09 1525.13 4.55183e+06
1.10599e-09 1527.49 4.54521e+06
1.10917e-09 1521.92 4.53874e+06
1.11237e-09 1520.48 4.53214e+06
1.11558e-09 1514.09 4.5256e+06
1.11879e-09 1513.53 4.51873e+06
1.12202e-09 1512.7 4.5126e+06
1.12525e-09 1508.83 4.50626e+06
1.1285e-09 1515.59 4.49949e+06
1.13175e-09 1503.88 4.49315e+06
1.13501e-09 1507.09 4.48667e+06
1.13828e-09 1503.85 4.4804e+06
1.14156e-09 1497.73 4.47393e+06
1.14485e-09 1496.54 4.46701e+06
1.14815e-09 1494.63 4.46074e+06
1.15146e-09 1495.17 4.45439e+06
1.15478e-09 1497.45 4.44841e+06
1.15811e-09 1487.12 4.4418e+06
1.16145e-09 1486.9 4.43532e+06
1.1648e-09 1488.1 4.42877e+06
1.16815e-09 1486.66 4.42258e+06
1.17152e-09 1473.26 4.41625e+06
1.1749e-09 1477.77 4.40977e+06
1.17828e-09 1479.39 4.40356e+06
1.18168e-09 1474.85 4.39734e+06
1.18509e-09 1473.09 4.391e+06
1.1885e-09 1471.72 4.38454e+06
1.19193e-09 1471.44 4.3784e+06
1.19536e-09 1468.28 4.37178e+06
1.19881e-09 1465.96 4.36585e+06
1.20226e-09 1464.54 4.35923e+06
1.20573e-09 1461.86 4.35318e+06
1.20921e-09 1457 4.34688e+06
1.21269e-09 1456.84 4.34065e+06
1.21619e-09 1455.73 4.33445e+06
1.21969e-09 1453.35 4.32804e+06
1.22321e-09 1450.29 4.32204e+06
1.22673e-09 1450.47 4.316e+06
1.23027e-09 1443.1 4.30959e+06
1.23381e-09 1443.77 4.30345e+06
1.23737e-09 1439.05 4.29709e+06
1.24094e-09 1438.55 4.29115e+06
1.24451e-09 1437.96 4.2849e+06
1.2481e-09 1435.94 4.27844e+06
1.2517e-09 1437.55 4.27242e+06
1.25531e-09 1433.9 4.26611e+06
1.25893e-09 1426.64 4.26016e+06
1.26255e-09 1426.65 4.25419e+06
1.26619e-09 1425.56 4.248e+06
1.26984e-09 1422.85 4.24186e+06
1.2735e-09 1421.9 4.2358e+06
1.27717e-09 1419.53 4.22977e+06
1.28086e-09 1419.25 4.22367e+06
1.28455e-09 1415.29 4.21734e+06
1.28825e-09 1420.83 4.21142e+06
1.29196e-09 1414.57 4.20542e+06
1.29569e-09 1409.6 4.19934e+06
1.29942e-09 1401.52 4.19345e+06
1.30317e-09 1402.49 4.18737e+06
1.30692e-09 1399.51 4.18133e+06
1.31069e-09 1400.79 4.175e+06
1.31447e-09 1400.77 4.16936e+06
1.31826e-09 1392.82 4.16327e+06
1.32206e-09 1393.53 4.15721e+06
1.32587e-09 1391.51 4.1511e+06
1.32969e-09 1386.28 4.14519e+06
1.33352e-09 1386.3 4.13914e+06
1.33737e-09 1387.91 4.13359e+06
1.34122e-09 1384.23 4.12735e+06
1.34509e-09 1381.42 4.12148e+06
1.34896e-09 1383.31 4.11559e+06
1.35285e-09 1383.34 4.10974e+06
1.35675e-09 1381.13 4.10397e+06
1.36066e-09 1374.75 4.09802e+06
1.36458e-09 1370.72 4.0919e+06
1.36852e-09 1371.64 4.08586e+06
1.37246e-09 1369.32 4.08019e+06
1.37642e-09 1365.53 4.07454e+06
1.38038e-09 1364.64 4.06874e+06
1.38436e-09 1360.37 4.06238e+06
1.38835e-09 1360.75 4.05677e+06
1.39236e-09 1355.99 4.05112e+06
1.39637e-09 1354.98 4.04529e+06
1.40039e-09 1356.02 4.03956e+06
1.40443e-09 1353.38 4.03329e+06
1.40848e-09 1350.85 4.02763e+06
1.41254e-09 1346.19 4.0217e+06
1.41661e-09 1347.11 4.016e+06
1.42069e-09 1346.92 4.0103e+06
1.42479e-09 1343.72 4.00429e+06
1.42889e-09 1343.83 3.99884e+06
1.43301e-09 1339.99 3.99298e+06
1.43714e-09 1335.6 3.98733e+06
1.44129e-09 1332.69 3.9816e+06
1.44544e-09 1335.07 3.97587e+06
1.44961e-09 1331.74 3.97001e+06
1.45378e-09 1333.59 3.96464e+06
1.45797e-09 1330.36 3.95866e+06
1.46218e-09 1322.72 3.95318e+06
1.46639e-09 1322.07 3.94726e+06
1.47062e-09 1318.65 3.94142e+06
